video_id	name	id	address	description
RITA_RONCHETTI_1	San Cataldo	PL000214	Via San Cataldo, 41100 Modena MO	
vesce01	San Donnino	PL000215	San Donnino, Buon Pastore-Sant'Agnese-San Damaso, Modena, MO, Emilia-Romagna, Italy	
MIRIAM_01_1	San Faustino	PL000216	San Faustino, Modena, MO, Emilia-Romagna, 41124, Italy (	
MIRIAM_02_1	Santa Caterina	PL000217	Via Mar Mediterraneo, 80, 41122 Modena MO	
CARLO_CANDI	Santa Severina	PL000218	Santa Severina, KR, Italy	
nora01	Sassuolo	PL000219	Sassuolo, Italy	
MIRIAM_01_1	scuola	PL000220		del Villaggio (Emilio Po o le vecchie?)
MOGLIE_MAESTRO	scuola di Via Nicoli	PL000221		
EUGENIO_RONCHETTI_05	scuola elementare	PL000222		scuola Emilio Po
nora01	scuola elementare	PL000223		
nora01	scuola Emilio Po	PL000224	Scuola Primaria Statale Emilio Po, 89, Via Giovanni Antonio Scacciera, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41126, Italy	
CARLO_CANDI	sede	PL000226		OvestLab
EGENIO_RONCHETTI_02	sezione	PL000227		del PCI lungo via Emilio Po
vesce01	sezione	PL000228		
CARLO_CANDI	Sibari	PL000229		
CARLO_CANDI	Siberene	PL000230		
MOGLIE_MAESTRO	Sigma	PL000231		dice qui non c'era il sigma -> lo usa come esempio?
CARLO_CANDI	Sila	PL000232	Sila National Park, 437, Casali del Manco, CS, Calabria, Italy	
SALVALAI_01	Silvestri	PL000233		
nora01	Sio	PL000234		
SALVALAI_01	Soliera	PL000235	Soliera, Italy	
fantoni02	Somalia	PL000236	Somalia	
vesce01	Spezzano	PL000237	Spezzano, Via Statale, Crociale, Casa Palestro, Fiorano Modenese, Unione dei comuni del Distretto Ceramico, MO, Emilia-Romagna, 41042, Italy (	
vesce02	Staggia	PL000238	Staggia Modenese, Unione Comuni Modenesi Area Nord, MO, Emilia-Romagna, 41036, Italy	
nora01	Sternieri	PL000239	Via David Livingstone, 5, 41123 Modena MO	
nora01	Storchi	PL000240	Teatro Storchi, 15, Largo Giuseppe Garibaldi, Quartiere Albareto, Centro Storico, Modena, MO, Emilia-Romagna, 41124, Italy (	
nora01	tabaccheria	PL000241		
RITA_RONCHETTI_1	Taizé	PL000242	Taizé, Bressuire, Deux-Sèvres, New Aquitaine, Metropolitan France, 79100, France	
RITA_RONCHETTI_1	Teatro Comunale	PL000243	Teatro comunale Luciano Pavarotti, 8, Via Del Teatro, Quartiere Albareto, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
vesce01	Torrazzi	PL000244	Torrazzi, Modena, MO, Emilia-Romagna, 41122, Italy	
vesce01	Tre Olmi	PL000245	Tre Olmi, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy (	
vesce01	Tre Re	PL000246	Via Tre Re, Quartiere Baggiovara, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
fantoni02	treno	PL000247		ferrovia del Villaggio
EUGENIO_RONCHETTI_06	Tric e Trac	PL000248	380, Via Leopoldo Nobili, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41126, Italy	
fantoni02	Tripoli	PL000249	Tripoli, Libya	
CARLO_CANDI	università	PL000250		a Firenze (attigua all'Accademia)
vesce01	università	PL000251		
vesce01	Università Gregoriana	PL000252	Pontifical Gregorian University, 4, Piazza della Pilotta, Municipio Roma I, Rome, RM, Lazio, 00187, Italy (	
fantoni02	Venezia	PL000253	Venezia, Italy	
MIRIAM_02_1	via Albinelli	PL000254	Via Luigi Albinelli, Quartiere Baggiovara, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
nora01	via Bonacini	PL000255	Via bonacini, modena	
nora01	via Cavour	PL000256	Corso Camillo Benso di Cavour, Addizione Erculea, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
fantoni02	via Cesare Costa	PL000257	via Cesare Costa, modena	
nora01	via Cesare della Chiesa	PL000258	via Cesare della Chiesa, modena	
MIRIAM_02_1	via Corassori	PL000259	via Corassori, modena	
RITA_RONCHETTI_1	via Corridore 50	PL000260	Via Girolamo Corridore, 50, modena	
EUGENIO_RONCHETTI_05	via de' Gavasseti	PL000261	via de' Gavasseti, modena	
RITA_RONCHETTI_1	Via degli Ulivi	PL000262		
vesce01	via del Gambero	PL000263	Via del Gambero, Modena, MO	
RITA_RONCHETTI_1	Via del Pratello	PL000264	via del pratello, bologna	
CARLO_CANDI	via Emilia	PL000265		luogo in cui si svolgeva la festa de l'Unità
EGENIO_RONCHETTI_02	via Emilio Po	PL000266	via emilio po, modena	
nora01	via Leoni	PL000267	via Leoni, modena	
MOGLIE_MAESTRO	Via Nicoli	PL000268	Via Nicoli, modena	
nora01	via Nicolò Biondo	PL000269	via Nicolò Biondo, modena	
nora01	via Nobili	PL000270	via Nobili, modena	
MOGLIE_MAESTRO	Via Palestro	PL000271	Via Palestro, modena	
nora01	via Prati	PL000272	Via Renato Prati, modena	
CARLO_CANDI	via Ricasoli	PL000273	via Ricasoli, firenze	a Firenze
nora01	via Rinaldi	PL000274	Via Tommaso Rinaldi, modena	
SALVALAI_01	via San Cataldo	PL000275	strada San Cataldo, modena	
MIRIAM_01_1	via Wiligelmo	PL000276	via Wiligelmo, modena	
EGENIO_RONCHETTI_02	Vietnam	PL000277	vietnam	
fantoni02	Vignola	PL000278	Vignola, Unione di comuni Terre di Castelli, MO, Emilia-Romagna, 41058, Italy (	
RITA_RONCHETTI_1	Villaggio	PL000279		
RITA_RONCHETTI_1	Villaggio Artigiano	PL000280	Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy	
nora01	Villaggio Artigiano Modena Est	PL000281		
nora01	Villaggio Giardino	PL000282	Villaggio Giardino, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41128, Italy	
vesce01	Vivinatura	PL000283		
fantoni02	zuccherificio	PL000284		in Somalia (ex Villaggio Duca degli Abruzzi)
